Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
Godrej 1.5 Ton 5 Star Split Inverter Convertible 5-in-1 Cooling With Anti-Virus Protection AC  - White...,Godrej,4.6,16, 0,"['Power Consumption: 840.2 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",36790,51900,29
Hitachi 1.5 Ton 3 Star Window AC  - White,Hitachi,3.7,14, 1,['Room Size: 111 to 150 sqft'],28989,34490,15
Hitachi 1 Ton 5 Star Split Inverter AC  - White,Hitachi,4.5,6, 2,"['Power Consumption: 965 W', 'Room Size: 90 sqft or Below', '1 Year on Product, 1 Year on Condenser and 5 Years on Compressor From Hitachi']",37949,54600,30
Lloyd 1 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,16, 0,"['Power Consumption: 745.89 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor from LLOYD']",31287,44990,30
Voltas 1.5 Ton 5 Star Window AC  - White,Voltas,4.3,2110, 182,"['Power Consumption: 1495 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",30999,34690,10
"Hitachi 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",Hitachi,3.9,21, 3,"['Power Consumption: 780.6 W', 'Room Size: 111 to 150 sqft', '2 Year on Product, 5 Years on Controller and 10 Years on Compressor']",41500,60700,31
Lloyd 1 Ton 5 Star Split Inverter AC  - White,Lloyd,4.3,481, 51,"['Power Consumption: 574.71 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd']",35599,54990,35
Daikin 1 Ton 5 Star Split Inverter AC  - White,Daikin,4.2,26, 4,"['Power Consumption: 822 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Years on Compressor']",45899,52000,11
"Hitachi 1 Ton 5 Star Split Inverter AC  - White, Gold",Hitachi,3.9,3262, 337,"['Power Consumption: 585.85 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Complete Product and 10 Years on Compressor']",39899,54600,26
Panasonic 2 Ton 3 Star Split AC  - White,Panasonic,3.6,10, 0,"['Power Consumption: 1710 W', 'Room Size: 151 to 200 sqft', '1 Year on the Product and 4 Years on the Compressor']",47500,59100,19
CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,CARRIER,4.7,3, 1,"['Power Consumption: 1380 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",42500,54990,22
MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Engineered with Panasonic Technology AC  - White,MarQ,4.3,7200," 1,071","['Power Consumption: 840.75 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from MarQ by Flipkart']",34999,43399,19
O General 1.5 Ton 5 Star Split Inverter AC  - White,O,3.8,4, 0,"['Power Consumption: 1580 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 5 Years on Compressor From O-General']",58799,67370,12
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,Voltas,4.2,1473, 126,"['Power Consumption: 1750 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and Condenser and 5 Years on Compressor from Voltas']",40499,69990,42
Hitachi 1.5 Ton 3 Star Window Inverter AC  - White,Hitachi,5,1, 1,"['Power Consumption: 1279.15 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Controller and 10 Years on Compressor']",35949,40290,10
Voltas 2 Ton 3 Star Split AC  - White,Voltas,4.2,2382, 201,"['Power Consumption: 1937 W', 'Room Size: 151 to 200 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",49800,69990,28
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,Voltas,4.2,3700, 320,"['Power Consumption: 1590 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",35999,59190,39
Panasonic 1.5 Ton 5 Star Split Inverter AC  - White,Panasonic,4.8,5, 1,"['Power Consumption: 840.75 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor']",41179,57000,27
Blue Star 2 Ton 5 Star Split Inverter AC  - White,Blue,4.7,16, 0,"['Power Consumption: 1770 W', 'Room Size: 151 to 200 sqft', '1 Year on Product and 10 Years Warranty on Compressor']",59980,80000,25
Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC with Wi-fi Connect  - White,Daikin,4.2,46, 3,"['Power Consumption: 1415 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Daikin']",46200,63000,26
Daikin 1 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,Daikin,4.2,1984, 192,"['Power Consumption: 1110 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 10 Years on Compressor From Daikin']",33999,42990,20
CARRIER 1.5 Ton 4 Star Window AC  - White,CARRIER,4.3,917, 94,"['Power Consumption: 1558 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",31999,43090,25
LG 1.5 Ton 2 Star Split Dual Inverter AC  - White,LG,4,10, 1,"['Power Consumption: 1800 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 10 Years on Compressor']",34849,47900,27
Blue Star 0.8 Ton 4 Star Window AC  - White,Blue,4,149, 23,"['Power Consumption: 838 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Years Warranty on Compressor']",24999,30000,16
"Godrej 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",Godrej,4.1,13, 1,"['Power Consumption: 840.2 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",43490,55900,22
Lloyd 1 Ton 3 Star Split AC  - White,Lloyd,4.2,648, 102,"['Power Consumption: 735.4 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product and 5 Years on Compressor']",29499,41990,29
Voltas 2 in 1 Convertible Cooling 1.6 Ton 5 Star Split Inverter AC  - White,Voltas,4.2,4071, 415,"['Power Consumption: 1526 W', 'Room Size: 151 to 200 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",41999,79990,47
Blue Star 1 Ton 3 Star Split Inverter AC  - White,Blue,4.2,4321, 505,"['Power Consumption: 1060 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 10 Years Warranty on Compressor']",32960,52000,36
Daikin 1 Ton 5 Star Split Inverter AC  - White,Daikin,4.4,19, 2,"['Power Consumption: 940 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",39449,55500,28
Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,21, 1,"['Power Consumption: 1440 W', 'Room Size: 111 to 150 sqft', '1 Year on Product 5 Years on Compressor Manufacturer Warranty from Lloyd']",36990,58990,37
ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,ONIDA,4.5,3148, 547,"['Power Consumption: 1740 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor from Onida']",32990,54990,40
Godrej 2 Ton 3 Star Split Inverter AC  - White,Godrej,3.6,11, 0,['Room Size: 151 to 200 sqft'],48990,69900,29
IFB 1.5 Ton 3 Star Split Dual Inverter AC  - White,IFB,4.2,1159, 149,"['Power Consumption: 1088 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor from IFB']",34990,44890,22
Blue Star 2 Ton 3 Star Window AC  - White,Blue,4.2,82, 8,"['Power Consumption: 2016 W', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",43800,47500,7
Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,Blue,4.2,4321, 505,"['Power Consumption: 975.37 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Inverter Compressor']",34999,58140,39
Voltas 1.5 Ton 3 Star Window AC  - White,Voltas,4.2,1566, 135,"['Power Consumption: 1729 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 4 Years on Compressor']",27950,32822,14
"Whirlpool 1.5 Ton 3 Star Split AC  - White, Grey",Whirlpool,4.1,8022, 888,"['Power Consumption: 1410 W', 'Room Size: 111 to 150 sqft', '1 year comprehensive+5year on compressor']",32690,44400,26
"LG 1.5 Ton 3 Star Split Dual Inverter AC  - White, Maroon",LG,4.3,237, 36,"['Power Consumption: 1740 W', 'Room Size: 111 to 150 sqft', '10 Years on Compressor with free gas recharge*, 5 Years on PCB*']",43000,53990,20
LG 1 Ton 4 Star Split Dual Inverter AC with Wi-fi Connect  - White,LG,4.6,17, 3,"['Power Consumption: 604.19 kWh', 'Room Size: 90 sqft or Below', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG']",42000,59990,29
Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,Panasonic,4.3,176, 31,"['Power Consumption: 848.28 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 4 Years on PCB and ODU Casing and 9 Years On Compressor']",50990,66000,22
Blue Star 1.2 Ton 3 Star Split Inverter AC  - White,Blue,4.3,246, 20,"['Power Consumption: 926.14 W', 'Room Size: 91 to 110 sqft', '1 Year on Product and 10 Years Warranty on Compressor From Blue Star']",32990,52000,36
ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,ONIDA,4.4,830, 139,"['Power Consumption: 1525 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 4 Years on Compressor']",36999,60890,39
Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,Panasonic,4.2,1222, 160,"['Power Consumption: 1056.45 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor']",35990,48500,25
TOSHIBA 1.5 Ton 3 Star Split AC  - White,TOSHIBA,4,21, 4,"['Power Consumption: 1800 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Date of Purchase']",35000,45100,22
Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.3,17, 2,"['Power Consumption: 2100 W', 'Room Size: 111 to 150 sqft', '1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor']",42000,65000,35
Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.2,18, 1,"['Power Consumption: 1890 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor']",36990,45000,17
Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,Blue,4.5,8, 1,"['Power Consumption: 1750 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",37100,52250,28
Voltas 1 Ton 5 Star Split Inverter AC  - White,Voltas,4.3,6, 0,"['Power Consumption: 1780 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 4 Years Warranty Compressor']",38540,63990,39
Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,Panasonic,5,3, 1,"['Power Consumption: 915 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",33477,51990,35
Whirlpool 1 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.3,23, 4,"['Power Consumption: 1500 W', 'Room Size: 90 sqft or Below', '1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor']",47486,48000,1
SAMSUNG 2 Ton 4 Star Split Inverter AC  - White,SAMSUNG,4.2,26394," 2,631","['Power Consumption: 1820 W', 'Room Size: 151 to 200 sqft', '1 Year Standard Warranty on Product and 10 Years on Compressor']",47990,77990,38
"LG 1.5 Ton 5 Star Split Dual Inverter AC  - White, Maroon",LG,4.3,237, 36,"['Power Consumption: 1440 W', 'Room Size: 111 to 150 sqft', '10 Years on Compressor with free gas recharge*, 5 Years on PCB*']",46500,56990,18
Godrej 2 Ton 3 Star Window AC  - White,Godrej,4.5,11, 0,"['Power Consumption: 1625 W', 'Room Size: 151 to 200 sqft', '1 Year on Product, 1 Year on Condenser and 5 Years on Compressor']",32990,38900,15
IFB 7 Stage Air Treatment 1.5 Ton 5 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,IFB,4.3,1999, 306,"['Power Consumption: 1370 W', 'Room Size: 111 to 150 sqft', '1 year warranty on product + 5 years on ODU PCB, 10 years on compressor']",42990,55890,23
MarQ by Flipkart Convertible 4-in-1 Cooling 1 Ton 3 Star Split Inverter AC  - White,MarQ,4.1,766, 112,"['Power Consumption: 712.59 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart']",27490,45999,40
Daikin 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,Daikin,4.2,1047, 111,"['Power Consumption: 1575 W', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor']",59990,83900,28
"Blue Star 1 Ton 3 Star Split Inverter AC  - Silver, White",Blue,4.4,52, 5,"['Power Consumption: 1122 W', 'Room Size: 90 sqft or Below', '1 Year on Product and Condenser, 10 Years on Compressor from Blue Star']",34500,45000,23
Panasonic 1 Ton 3 Star Split Inverter AC  - White,Panasonic,4.2,1222, 160,"['Power Consumption: 731.44 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor']",32990,42200,21
IFB 7 Stage Air Treatment 1.5 Ton 5 Star Split Inverter PM 0.3 Filter Gold Series AC  - White,IFB,4.4,552, 87,"['Power Consumption: 853.68 kWh', 'Room Size: 111 to 150 sqft', '1 year warranty on product + 5 years on ODU PCB, 10 years on compressor']",44990,55490,18
Daikin 1.8 Ton 5 Star Split Inverter AC  - White,Daikin,3.4,5, 1,"['Power Consumption: 1665 W', 'Room Size: 151 to 200 sqft', '1 Year on Product and 5 Years on Compressor']",66570,83000,19
CARRIER 1.5 Ton 3 Star Split AC  - White,CARRIER,4.3,778, 112,"['Power Consumption: 1458 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor from Carrier']",35000,51990,32
Voltas 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,Voltas,4.2,17, 1,"['Power Consumption: 1712 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and Condenser and 5 Years on Compressor']",41490,64990,36
Nokia 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Triple Inverter Smart AC with Wi-fi Connect  - W...,Nokia,4.2,505, 95,"['Power Consumption: 847.7 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",34999,57399,39
Godrej 1.5 Ton 3 Star Split Inverter AC  - White,Godrej,4.3,430, 60,"['Power Consumption: 1750 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive and 5 Years on Compressor Warranty From Godrej']",33887,58000,41
Blue Star 1 Ton 3 Star Split Inverter AC  - White,Blue,4.4,72, 13,"['Power Consumption: 669.13 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Inverter Compressor']",35800,49500,27
Voltas 1.5 Ton 4 Star Hot and Cold Split Inverter AC  - White,Voltas,3.9,10, 0,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor From Voltas']",35405,53990,34
Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,Whirlpool,4.1,3474, 404,"['Power Consumption: 770.5 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor']",35990,73500,51
"Voltas 1.5 Ton 5 Star Split Inverter AC  - White, Red",Voltas,4.4,31, 4,"['Power Consumption: 1430 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 1 Year on Condenser, and 5 Years on Compressor']",40987,71990,43
Whirlpool 1.5 Ton 3 Star Split Inverter Expandable AC  - White,Whirlpool,3.9,55, 10,['Room Size: 111 to 150 sqft'],33290,43784,23
Lloyd 1.5 Ton 4 Star Window AC  - White,Lloyd,4.2,486, 87,"['Power Consumption: 1180.51 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 5 Years on Compressor']",28999,38990,25
Whirlpool 1 Ton 3 Star Split Inverter AC  - White,Whirlpool,5,5, 0,"['Power Consumption: 1140 W', 'Room Size: 90 sqft or Below', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor']",34000,45000,24
Hitachi 1.5 Ton 5 Star Window Inverter AC  - White,Hitachi,4.1,8, 0,"['Power Consumption: 1179.68 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Controller and 10 Years on Compressor']",38599,45690,15
Midea 1.5 Ton 3 Star Split Inverter AC  - White,Midea,4.1,9, 0,"['Power Consumption: 1700 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",33999,59790,43
LIVPURE 1.5 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,LIVPURE,4.2,2590, 578,"['Power Consumption: 1600 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor']",36990,44990,17
Godrej 1.5 Ton 3 Star Split Inverter AC  - White,Godrej,4.3,430, 60,"['Power Consumption: 1128.49 W', 'Room Size: 111 to 150 sqft', '1 Year On Product and Condenser Coil Warranty and 10 Years On Compressor from Godrej']",33445,48900,31
Daikin 1 Ton 4 Star Split Inverter AC  - White,Daikin,4.4,17, 2,"['Power Consumption: 1200 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",35199,48200,26
Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,Panasonic,5,2, 1,"['Power Consumption: 1660 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",44219,59400,25
Voltas 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,Voltas,4.8,6, 0,"['Power Consumption: 1835 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",34890,69990,50
MOTOROLA 1.5 Ton 3 Star Split Dual Inverter AC  - Silver,MOTOROLA,4.4,618, 106,"['Power Consumption: 1101.4 W', 'Room Size: 111 to 150 sqft', '1 year on product and 10 years on compressor']",34490,46399,25
Voltas 1.5 Ton 3 Star Split Inverter adjustible AC  - White,Voltas,4.1,14, 1,"['Power Consumption: 1036.6 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",35415,59990,40
Whirlpool 1.5 Ton Split Inverter AC  - White,Whirlpool,4,8, 1,['Room Size: 111 to 150 sqft'],36890,58250,36
MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,MarQ,4.4,331, 38,"['Power Consumption: 1118 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",35500,56999,37
Daikin 1.5 Ton 3 Star Split AC  - White,Daikin,4.6,24, 3,"['Power Consumption: 1103 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive and 4 Years Compressor Warranty from Daikin']",35780,43000,16
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,Voltas,3.8,6, 0,"['Power Consumption: 1750 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 10 Years on Compressor From Voltas']",36990,59390,37
Sansui Activated Carbon Filter 1.5 Ton 3 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,Sansui,4.1,181, 25,"['Power Consumption: 1101.45 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Sansui']",30990,54999,43
Blue Star 1 Ton 3 Star Split AC  - White,Blue,4,25, 4,"['Power Consumption: 940 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Years Warranty on Compressor']",30490,44000,30
Hitachi 1 Ton 3 Star Window AC  - White,Hitachi,4,2628, 286,"['Power Consumption: 921 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor']",26999,28900,6
CARRIER 1.5 Ton 4 Star Split Inverter AC  - White,CARRIER,3.3,3, 0,"['Power Consumption: 1595 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",35990,68490,47
CANDY 1.5 Ton 3 Star Split Dual Inverter AC  - White,CANDY,4.1,268, 49,"['Power Consumption: 1089.14 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",31999,43000,25
CARRIER 1.5 Ton 5 Star Window AC  - White,CARRIER,4.3,917, 94,"['Power Consumption: 1550 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor from Carrier']",32999,40990,19
Blue Star 1.5 Ton 3 Star Split AC  - White,Blue,4.2,892, 117,"['Power Consumption: 1430 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years Warranty on Compressor']",37990,53000,28
Lloyd 1 Ton 3 Star Window AC  - White,Lloyd,4.2,486, 87,"['Power Consumption: 808.94 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product and 5 Years on Compressor']",24299,34277,29
iFFALCON 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,iFFALCON,4.1,457, 77,"['Power Consumption: 1350 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",36990,49990,26
SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,SAMSUNG,4.2,546, 41,"['Power Consumption: 1700 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product and 10 Years on Compressor']",35999,57990,37
"SAMSUNG 1.5 Ton 4 Star Split Inverter AC  - White, Blue",SAMSUNG,3.8,26, 4,"['Power Consumption: 1490 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",38479,68990,44
LG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,LG,4.1,12, 1,"['Power Consumption: 818.81 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor from LG']",45990,70990,35
Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,Daikin,4.2,5, 1,"['Power Consumption: 1095 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor']",59549,81200,26
Hitachi 1.5 Ton 3 Star Window AC  - White,Hitachi,4.2,3609, 405,"['Power Consumption: 1650 W', 'Room Size: 111 to 150 sqft', '1 Year for Product & 4 Years for Compressor']",28499,29890,4
Voltas 1.5 Ton 5 Star Split Inverter adjustible AC  - White,Voltas,3.7,29, 4,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",39699,73990,46
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,Voltas,4.3,4538, 483,"['Power Consumption: 1355 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",44990,59990,25
Blue Star 1.5 Ton 5 Star Window AC  - White,Blue,4.2,177, 18,"['Power Consumption: 114.71 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",35999,42500,15
CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,CARRIER,4.4,17556," 2,286","['Power Consumption: 1500 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",40999,59990,31
Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,Blue,4.3,365, 45,"['Power Consumption: 1375 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor']",43480,51493,15
Voltas 1.5 Ton 4 Star Split Inverter AC  - White,Voltas,4.2,3722, 492,"['Power Consumption: 1520 W', 'Room Size: 111 to 150 sqft', '1 Year Manufacturer Warranty']",37979,59990,36
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,Voltas,4.3,4538, 483,"['Power Consumption: 1355 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",39990,68990,42
Blue Star 1.2 Ton 3 Star Split Inverter AC  - White,Blue,4.4,3553, 422,"['Power Consumption: 1440 W', 'Room Size: 91 to 110 sqft', '1 Year on Product and Condenser, 10 Years on Compressor warranty from Blue Star.']",33490,50000,33
"SAMSUNG 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White, Blue",SAMSUNG,3.8,19, 1,"['Power Consumption: 1700 W', 'Room Size: 111 to 150 sqft', '5 Years Warranty on Product and 10 Years on Compressor']",37499,55990,33
